Date,RELIANCE Open,RELIANCE High,RELIANCE Low,RELIANCE Close,RELIANCE Adj Close,RELIANCE Volume,DMART Open,DMART High,DMART Low,DMART Close,DMART Close,DMART Volume,,,,,,,,,,DROPDOWN,,Date,DMART High,RELIANCE High
8/17/2022,2665,2676.899902,2655.550049,2665.149902,2657.149902,3044037,4422,4438,4370,4398.649902,4398.649902,316826,,,,,,,,,,,,8/17/2022,4438,2676.899902
8/18/2022,2660,2669,2640.199951,2661.300049,2661.300049,3419730,4425,4493.100098,4401.049805,4460.950195,4460.950195,468551,,,,,,,,,,,,8/18/2022,4493.100098,2669
8/19/2022,2650,2661.699951,2604.949951,2613.850098,2613.850098,4366123,4487,4523.5,4352.75,4382,4382,437762,,,,,,,,,,,,8/19/2022,4523.5,2661.699951
8/22/2022,2617,2631.300049,2586,2606.600098,2606.600098,4371179,4371,4371,4231,4250.75,4250.75,330916,,,,,,,,,,,,8/22/2022,4371,2631.300049
8/23/2022,2594,2653.199951,2591.350098,2646.800049,2646.800049,4466619,4195,4301,4170.549805,4256.950195,4256.950195,285843,,,,,,,,,,,,8/23/2022,4301,2653.199951
8/24/2022,2640.100098,2670,2635.350098,2639.75,2639.75,4785579,4269,4356,4266,4304.25,4304.25,270843,,,,,,,,,,,,8/24/2022,4356,2670
8/25/2022,2648.949951,2662.899902,2622.600098,2632.050049,2632.050049,3632902,4339.899902,4394,4312.049805,4341.25,4341.25,246543,,,,,,,,,,,,8/25/2022,4394,2662.899902
8/26/2022,2633,2650,2607,2618,2618,4957449,4384,4414.5,4370.049805,4409.649902,4409.649902,202948,,,,,,,,,,,,8/26/2022,4414.5,2650
8/29/2022,2585,2655,2578.050049,2597.649902,2597.649902,9155684,4270,4450,4270,4431.549805,4431.549805,352554,,,,,,,,,,,,8/29/2022,4450,2655
8/30/2022,2614,2645.25,2576.600098,2637.949951,2637.949951,10678670,4475,4550,4460.299805,4531.350098,4531.350098,426171,,,,,,,,,,,,8/30/2022,4550,2645.25
9/1/2022,2582.649902,2604.949951,2550.699951,2560.399902,2560.399902,9188434,4494,4599.399902,4462,4565.850098,4565.850098,431835,,,,,,,,,,,,9/1/2022,4599.399902,2604.949951
9/2/2022,2560.399902,2575.350098,2525.699951,2530.5,2530.5,5999196,4572.899902,4609,4511,4576.799805,4576.799805,268702,,,,,,,,,,,,9/2/2022,4609,2575.350098
9/5/2022,2531,2581.5,2531,2569.800049,2569.800049,5227785,4584.799805,4606.149902,4550,4577.450195,4577.450195,216543,,,,,,,,,,,,9/5/2022,4606.149902,2581.5
9/6/2022,2573,2606,2572,2596.850098,2596.850098,5030172,4599,4603.950195,4531,4557.100098,4557.100098,258981,,,,,,,,,,,,9/6/2022,4603.950195,2606
9/7/2022,2575,2594.899902,2570,2581.75,2581.75,3455942,4532,4548,4402.299805,4426.299805,4426.299805,322460,,,,,,,,,,,,9/7/2022,4548,2594.899902
9/8/2022,2588.25,2598,2571,2585.399902,2585.399902,3256840,4499,4499,4390,4406.049805,4406.049805,214781,,,,,,,,,,,,9/8/2022,4499,2598
9/9/2022,2610,2610,2564,2569.300049,2569.300049,3837302,4448.549805,4448.549805,4370,4386.100098,4386.100098,210596,,,,,,,,,,,,9/9/2022,4448.549805,2610
9/12/2022,2570.550049,2612,2570.550049,2598.050049,2598.050049,3431445,4440,4475,4400,4443.950195,4443.950195,252381,,,,,,,,,,,,9/12/2022,4475,2612
9/13/2022,2618,2629.699951,2601,2619.75,2619.75,4102114,4470,4510,4447.799805,4493.25,4493.25,293076,,,,,,,,,,,,9/13/2022,4510,2629.699951
9/14/2022,2575,2610,2572.75,2588.350098,2588.350098,4004997,4450,4518,4426.149902,4478.25,4478.25,268511,,,,,,,,,,,,9/14/2022,4518,2610
9/15/2022,2583,2603.550049,2556.75,2562.699951,2562.699951,4783723,4499,4539,4475,4525.850098,4525.850098,221683,,,,,,,,,,,,9/15/2022,4539,2603.550049
9/16/2022,2543.75,2553,2491,2499.199951,2499.199951,9330469,4528.899902,4550,4285.399902,4327.549805,4327.549805,584163,,,,,,,,,,,,9/16/2022,4550,2553
9/19/2022,2499.199951,2522.699951,2481.350098,2502.449951,2502.449951,3498286,4340,4417.200195,4271.25,4348,4348,235756,,,,,,,,,,,,9/19/2022,4417.200195,2522.699951
9/20/2022,2522.449951,2537.699951,2494.699951,2502.850098,2502.850098,3881882,4401.100098,4412,4330,4349.299805,4349.299805,203661,,,,,,,,,,,,9/20/2022,4412,2537.699951
9/21/2022,2496.75,2533,2495,2509.75,2509.75,4249172,4349,4394.950195,4292.049805,4308.700195,4308.700195,223827,,,,,,,,,,,,9/21/2022,4394.950195,2533
9/22/2022,2486,2503,2472.100098,2486.100098,2486.100098,4757219,4288.75,4440.600098,4257,4431.700195,4431.700195,465230,,,,,,,,,,,,9/22/2022,4440.600098,2503
9/23/2022,2485,2495.949951,2436.100098,2439.5,2439.5,4397194,4450,4469.899902,4351,4367,4367,241647,,,,,,,,,,,,9/23/2022,4469.899902,2495.949951
9/26/2022,2394.050049,2417.800049,2375.149902,2377.350098,2377.350098,5759298,4323,4448,4261,4375.299805,4375.299805,403076,,,,,,,,,,,,9/26/2022,4448,2417.800049
9/27/2022,2394,2426,2360.100098,2396.25,2396.25,7455448,4375.299805,4417.5,4270,4283.200195,4283.200195,237462,,,,,,,,,,,,9/27/2022,4417.5,2426
9/28/2022,2360.350098,2378,2327.100098,2332.449951,2332.449951,7844140,4249,4367.950195,4240,4318.149902,4318.149902,352261,,,,,,,,,,,,9/28/2022,4367.950195,2378
